Si. No.,Category,State/UT/City,Dangerous or Careless Driving/ Over-taking/etc. - Cases,Dangerous or Careless Driving/ Over-taking/etc. - Injured,Dangerous or Careless Driving/ Over-taking/etc. - Died,Over Speeding - Cases,Over Speeding - Injured,Over Speeding - Died,Driving under Influence of Drug/Alcohol - Cases,Driving under Influence of Drug/Alcohol - Injured,Driving under Influence of Drug/Alcohol - Died,Physical Fatigue of Drivers - Cases,Physical Fatigue of Drivers - Injured,Physical Fatigue of Drivers - Died,Defect in Mechanical Condition of Motor Vehicle - Cases,Defect in Mechanical Condition of Motor Vehicle - Injured,Defect in Mechanical Condition of Motor Vehicle - Died,Animal Crossing - Cases,Animal Crossing - Injured,Animal Crossing - Died,Weather Condition (Total) - Cases,Weather Condition (Total) - Injured,Weather Condition (Total) - Died,Weather Condition (Poor Visibility) - Cases,Weather Condition (Poor Visibility) - Injured,Weather Condition (Poor Visibility) - Died,Weather Condition (Others Causes - Cases,Weather Condition (Others Causes - Injured,Weather Condition (Others Causes - Died,Lack of Road Infrastructure - Cases,Lack of Road Infrastructure - Injured,Lack of Road Infrastructure - Died,Vehicles Parking at Road Shoulders - Cases,Vehicles Parking at Road Shoulders - Injured,Vehicles Parking at Road Shoulders - Died,Causes Not Known - Cases,Causes Not Known - Injured,Causes Not Known - Died,Other Causes - Cases,Other Causes - Injured,Other Causes - Died,Total Road Accidents - Cases,Total Road Accidents - Injured,Total Road Accidents - Died,Unmanned Railway Crossing Accidents - Cases,Unmanned Railway Crossing Accidents - Injured,Unmanned Railway Crossing Accidents - Died,Grand Total - Cases,Grand Total - Injured,Grand Total - Died
30,Union Territories,Chandigarh,10,9,2,132,130,49,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,1,157,148,53,0,0,0,157,148,53
31,Union Territories,D & N Haveli and Daman & Diu,46,35,25,49,80,39,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,119,64,0,0,0,98,119,64
32,Union Territories,Delhi (UT),1805,1599,450,1563,1168,523,73,76,16,6,4,1,6,6,0,21,24,2,97,87,25,66,59,19,31,28,6,29,32,1,27,27,3,139,78,68,421,353,107,4187,3454,1196,0,0,0,4187,3454,1196
33,Union Territories,Jammu & Kashmir,479,644,73,3563,4235,549,0,0,0,0,0,0,0,0,0,11,17,0,22,30,3,0,0,0,22,30,3,0,0,0,0,0,0,624,802,80,162,196,26,4861,5924,731,0,0,0,4861,5924,731
34,Union Territories,Ladakh,33,40,9,11,13,4,3,1,2,0,0,0,7,9,1,0,0,0,40,27,5,10,0,0,30,27,5,3,3,1,5,5,0,0,0,0,0,0,0,139,146,32,0,0,0,139,146,32
35,Union Territories,Lakshadweep,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
36,Union Territories,Puducherry,17,0,0,781,612,76,13,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,392,67,969,1019,145,0,0,0,969,1019,145
Total (UTs),Total (UTs),Total (UTs),2472,2417,567,6126,6270,1242,127,121,25,6,4,1,14,17,1,32,41,2,159,144,33,76,59,19,83,85,14,32,35,2,32,32,3,763,880,148,753,947,201,10414,10810,2203,0,0,0,10414,10810,2203
Total (All India),Total (All India),Total (All India),86268,77067,35219,215159,209736,75333,7996,6974,3026,2011,1929,830,4768,4660,1887,4261,3762,1969,8664,7393,4336,4719,4098,2396,3945,3295,1940,2248,1981,1035,2504,2548,1043,6708,5839,2629,14209,13161,5894,354796,335050,133201,24,0,24,354820,335050,133225
38,City,Agra,135,13,135,81,5,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,18,216,0,0,0,216,18,216
39,City,Ahmedabad,0,0,0,1181,786,336,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,786,340,0,0,0,1185,786,340
40,City,Allahabad,15,7,8,13,7,6,9,5,4,12,10,2,10,7,3,16,10,6,48,37,11,22,19,3,26,18,8,15,11,4,19,15,4,15,11,5,49,47,7,221,167,60,0,0,0,221,167,60
41,City,Amritsar,2,0,2,55,30,37,1,1,0,0,0,0,41,28,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,59,66,0,0,0,100,59,66
42,City,Asansol,258,131,189,153,87,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,12,0,0,0,427,246,314,0,0,0,427,246,314
43,City,Aurangabad,0,0,0,372,258,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,258,163,0,0,0,372,258,163
44,City,Bengaluru,213,88,39,2993,2650,596,27,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3233,2751,646,0,0,0,3233,2751,646
45,City,Bhopal,1061,874,57,139,133,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,0,0,0,0,131,57,5,240,148,15,1590,1227,93,0,0,0,1590,1227,93
